url,image,name,price,details
https://www.amazon.pl/Times-Tables-Tests-Maths-Ages/dp/0721711340/ref=sr_1_17?dib=eyJ2IjoiMSJ9.GlkbHfBEN7Tk_UPKPkFghSpw01yuH94nsDEGMPM4ZW1SE0xASIc8TAWUHPGtxj4WeHOlv91fp07guciZfQN_QRJTRTBoZYghYszHlV34GiWUpKZ4wFSUEUSVYudpL8mbLgVk_WLqGW3cL8LzGGo-D2EtqzNgFLHFjZn66shDnDu2UO0y_Y2A9mYvv-xbpzbYucyMJoyT25jUis5XIahk5zIO8cmxHuZ7mKBtx2UqUC_q9cL-KEFpdxXCqiOMuEbNigUPXIINYU6y0D6ogEa2f28HShIbQV2ogV_PPebgqtE._1i745_oUzAiln255V33wVLesameFAo1IFOJL4Unl-Y&dib_tag=se&keywords=sims+5+game&qid=1705772768&sr=8-17,https://m.media-amazon.com/images/I/61xxuWDazZL._AC_UL320_.jpg,"Times Tables Tests 1: KS1/KS2 Maths, Ages 5-8","25,55","#<struct ProductDetails lang=""Angielski"", model_nr=nil, country_of_origin=nil, rating_avg=""4,6"", reviews_num=""230"">"
https://www.amazon.pl/Electronic-Arts-S7185276-Dead-Space/dp/B0BGPLL3D6/ref=sr_1_18?dib=eyJ2IjoiMSJ9.GlkbHfBEN7Tk_UPKPkFghSpw01yuH94nsDEGMPM4ZW1SE0xASIc8TAWUHPGtxj4WeHOlv91fp07guciZfQN_QRJTRTBoZYghYszHlV34GiWUpKZ4wFSUEUSVYudpL8mbLgVk_WLqGW3cL8LzGGo-D2EtqzNgFLHFjZn66shDnDu2UO0y_Y2A9mYvv-xbpzbYucyMJoyT25jUis5XIahk5zIO8cmxHuZ7mKBtx2UqUC_q9cL-KEFpdxXCqiOMuEbNigUPXIINYU6y0D6ogEa2f28HShIbQV2ogV_PPebgqtE._1i745_oUzAiln255V33wVLesameFAo1IFOJL4Unl-Y&dib_tag=se&keywords=sims+5+game&qid=1705772768&sr=8-18,https://m.media-amazon.com/images/I/61c6-KtQseL._AC_UL320_.jpg,Dead Space,"245,20","#<struct ProductDetails lang=""Angielski"", model_nr=""S7185276"", country_of_origin=nil, rating_avg=""4,7"", reviews_num=""241"">"
https://www.amazon.pl/Grammar-Punctuation-Book-Year-Ages/dp/0721713904/ref=sr_1_19?dib=eyJ2IjoiMSJ9.GlkbHfBEN7Tk_UPKPkFghSpw01yuH94nsDEGMPM4ZW1SE0xASIc8TAWUHPGtxj4WeHOlv91fp07guciZfQN_QRJTRTBoZYghYszHlV34GiWUpKZ4wFSUEUSVYudpL8mbLgVk_WLqGW3cL8LzGGo-D2EtqzNgFLHFjZn66shDnDu2UO0y_Y2A9mYvv-xbpzbYucyMJoyT25jUis5XIahk5zIO8cmxHuZ7mKBtx2UqUC_q9cL-KEFpdxXCqiOMuEbNigUPXIINYU6y0D6ogEa2f28HShIbQV2ogV_PPebgqtE._1i745_oUzAiln255V33wVLesameFAo1IFOJL4Unl-Y&dib_tag=se&keywords=sims+5+game&qid=1705772768&sr=8-19,https://m.media-amazon.com/images/I/61enNSEIYdL._AC_UL320_.jpg,"Grammar and Punctuation Book 1: Year 1, Ages 5-6","24,48","#<struct ProductDetails lang=""Angielski"", model_nr=nil, country_of_origin=nil, rating_avg=""4,7"", reviews_num=""293"">"
https://www.amazon.pl/Sims-Standard-PlayStation-okladce-oryginalu/dp/B0746PBM7D/ref=sr_1_20?dib=eyJ2IjoiMSJ9.GlkbHfBEN7Tk_UPKPkFghSpw01yuH94nsDEGMPM4ZW1SE0xASIc8TAWUHPGtxj4WeHOlv91fp07guciZfQN_QRJTRTBoZYghYszHlV34GiWUpKZ4wFSUEUSVYudpL8mbLgVk_WLqGW3cL8LzGGo-D2EtqzNgFLHFjZn66shDnDu2UO0y_Y2A9mYvv-xbpzbYucyMJoyT25jUis5XIahk5zIO8cmxHuZ7mKBtx2UqUC_q9cL-KEFpdxXCqiOMuEbNigUPXIINYU6y0D6ogEa2f28HShIbQV2ogV_PPebgqtE._1i745_oUzAiln255V33wVLesameFAo1IFOJL4Unl-Y&dib_tag=se&keywords=sims+5+game&qid=1705772768&sr=8-20,https://m.media-amazon.com/images/I/81PJNyAHsmL._AC_UL320_.jpg,Sims 4 – Standard Edition – [PlayStation 4] – (obraz na okładce może różnić się od oryginału),"291,02","#<struct ProductDetails lang=nil, model_nr=""263332"", country_of_origin=nil, rating_avg=""4,3"", reviews_num=""3 419"">"
https://www.amazon.pl/Electronic-Arts-GmbH-Die-Sims/dp/B0746NQ6SY/ref=sr_1_21?dib=eyJ2IjoiMSJ9.GlkbHfBEN7Tk_UPKPkFghSpw01yuH94nsDEGMPM4ZW1SE0xASIc8TAWUHPGtxj4WeHOlv91fp07guciZfQN_QRJTRTBoZYghYszHlV34GiWUpKZ4wFSUEUSVYudpL8mbLgVk_WLqGW3cL8LzGGo-D2EtqzNgFLHFjZn66shDnDu2UO0y_Y2A9mYvv-xbpzbYucyMJoyT25jUis5XIahk5zIO8cmxHuZ7mKBtx2UqUC_q9cL-KEFpdxXCqiOMuEbNigUPXIINYU6y0D6ogEa2f28HShIbQV2ogV_PPebgqtE._1i745_oUzAiln255V33wVLesameFAo1IFOJL4Unl-Y&dib_tag=se&keywords=sims+5+game&qid=1705772768&sr=8-21,https://m.media-amazon.com/images/I/71fZoDFkjOL._AC_UL320_.jpg,Die Sims 4,"91,01","#<struct ProductDetails lang=nil, model_nr=nil, country_of_origin=""Portugalia"", rating_avg=""4,0"", reviews_num=""421"">"
https://www.amazon.pl/Assassins-Creed-Odyssey-Official-Collectors/dp/0744018943/ref=sr_1_22?dib=eyJ2IjoiMSJ9.GlkbHfBEN7Tk_UPKPkFghSpw01yuH94nsDEGMPM4ZW1SE0xASIc8TAWUHPGtxj4WeHOlv91fp07guciZfQN_QRJTRTBoZYghYszHlV34GiWUpKZ4wFSUEUSVYudpL8mbLgVk_WLqGW3cL8LzGGo-D2EtqzNgFLHFjZn66shDnDu2UO0y_Y2A9mYvv-xbpzbYucyMJoyT25jUis5XIahk5zIO8cmxHuZ7mKBtx2UqUC_q9cL-KEFpdxXCqiOMuEbNigUPXIINYU6y0D6ogEa2f28HShIbQV2ogV_PPebgqtE._1i745_oUzAiln255V33wVLesameFAo1IFOJL4Unl-Y&dib_tag=se&keywords=sims+5+game&qid=1705772768&sr=8-22,https://m.media-amazon.com/images/I/81nEsCN6s3L._AC_UL320_.jpg,Assassin's Creed Odyssey: Official Platinum Edition Guide: Official Collector's Edition Guide,"669,24","#<struct ProductDetails lang=""Angielski"", model_nr=nil, country_of_origin=nil, rating_avg=""4,7"", reviews_num=""263"">"
https://www.amazon.pl/Star-Wars-Jedi-Survivor-Angielski/dp/B0BN6B16MF/ref=sr_1_23?dib=eyJ2IjoiMSJ9.GlkbHfBEN7Tk_UPKPkFghSpw01yuH94nsDEGMPM4ZW1SE0xASIc8TAWUHPGtxj4WeHOlv91fp07guciZfQN_QRJTRTBoZYghYszHlV34GiWUpKZ4wFSUEUSVYudpL8mbLgVk_WLqGW3cL8LzGGo-D2EtqzNgFLHFjZn66shDnDu2UO0y_Y2A9mYvv-xbpzbYucyMJoyT25jUis5XIahk5zIO8cmxHuZ7mKBtx2UqUC_q9cL-KEFpdxXCqiOMuEbNigUPXIINYU6y0D6ogEa2f28HShIbQV2ogV_PPebgqtE._1i745_oUzAiln255V33wVLesameFAo1IFOJL4Unl-Y&dib_tag=se&keywords=sims+5+game&qid=1705772768&sr=8-23,https://m.media-amazon.com/images/I/81ZW9efmayL._AC_UL320_.jpg,Star Wars Jedi Survivor - Deluxe Edition (PS5),"301,52","#<struct ProductDetails lang=nil, model_nr=""1146080"", country_of_origin=nil, rating_avg=""4,7"", reviews_num=""194"">"
https://www.amazon.pl/Activity-Book-Workbook-Hangman-Boxes/dp/B086Y3C7GQ/ref=sr_1_24?dib=eyJ2IjoiMSJ9.GlkbHfBEN7Tk_UPKPkFghSpw01yuH94nsDEGMPM4ZW1SE0xASIc8TAWUHPGtxj4WeHOlv91fp07guciZfQN_QRJTRTBoZYghYszHlV34GiWUpKZ4wFSUEUSVYudpL8mbLgVk_WLqGW3cL8LzGGo-D2EtqzNgFLHFjZn66shDnDu2UO0y_Y2A9mYvv-xbpzbYucyMJoyT25jUis5XIahk5zIO8cmxHuZ7mKBtx2UqUC_q9cL-KEFpdxXCqiOMuEbNigUPXIINYU6y0D6ogEa2f28HShIbQV2ogV_PPebgqtE._1i745_oUzAiln255V33wVLesameFAo1IFOJL4Unl-Y&dib_tag=se&keywords=sims+5+game&qid=1705772768&sr=8-24,https://m.media-amazon.com/images/I/51a7kPdEG6L._AC_UL320_.jpg,"Activity Book for Kids | Fun Kid Game Workbook with Tic Tac Toe, Hangman, Four in a Row, Dots and Boxes and Game of Sims: Children’s Game Book with Fun Activities for Kids","21,17","#<struct ProductDetails lang=""Angielski"", model_nr=nil, country_of_origin=nil, rating_avg="""", reviews_num="""">"
https://www.amazon.pl/Need-Speed-Unbound-dla-PS5/dp/B0BGM9GBN2/ref=sr_1_25?dib=eyJ2IjoiMSJ9.GlkbHfBEN7Tk_UPKPkFghSpw01yuH94nsDEGMPM4ZW1SE0xASIc8TAWUHPGtxj4WeHOlv91fp07guciZfQN_QRJTRTBoZYghYszHlV34GiWUpKZ4wFSUEUSVYudpL8mbLgVk_WLqGW3cL8LzGGo-D2EtqzNgFLHFjZn66shDnDu2UO0y_Y2A9mYvv-xbpzbYucyMJoyT25jUis5XIahk5zIO8cmxHuZ7mKBtx2UqUC_q9cL-KEFpdxXCqiOMuEbNigUPXIINYU6y0D6ogEa2f28HShIbQV2ogV_PPebgqtE._1i745_oUzAiln255V33wVLesameFAo1IFOJL4Unl-Y&dib_tag=se&keywords=sims+5+game&qid=1705772768&sr=8-25,https://m.media-amazon.com/images/I/81MwT1FJU7L._AC_UL320_.jpg,Need for Speed Unbound dla PS5,"207,60","#<struct ProductDetails lang=nil, model_nr=nil, country_of_origin=nil, rating_avg="""", reviews_num="""">"
https://www.amazon.pl/Witcher-Game-Year-PS4/dp/B01JYW2F1G/ref=sr_1_26?dib=eyJ2IjoiMSJ9.GlkbHfBEN7Tk_UPKPkFghSpw01yuH94nsDEGMPM4ZW1SE0xASIc8TAWUHPGtxj4WeHOlv91fp07guciZfQN_QRJTRTBoZYghYszHlV34GiWUpKZ4wFSUEUSVYudpL8mbLgVk_WLqGW3cL8LzGGo-D2EtqzNgFLHFjZn66shDnDu2UO0y_Y2A9mYvv-xbpzbYucyMJoyT25jUis5XIahk5zIO8cmxHuZ7mKBtx2UqUC_q9cL-KEFpdxXCqiOMuEbNigUPXIINYU6y0D6ogEa2f28HShIbQV2ogV_PPebgqtE._1i745_oUzAiln255V33wVLesameFAo1IFOJL4Unl-Y&dib_tag=se&keywords=sims+5+game&qid=1705772768&sr=8-26,https://m.media-amazon.com/images/I/91-tzg8N8pL._AC_UL320_.jpg,The Witcher 3 Game of the Year Edition (PS4),"91,00","#<struct ProductDetails lang=""Angielski, Polski"", model_nr=""112112"", country_of_origin=""Austria"", rating_avg=""4,6"", reviews_num=""8 243"">"
https://www.amazon.pl/Verbal-Reasoning-Rapid-Tests-Book/dp/0721714501/ref=sr_1_27?dib=eyJ2IjoiMSJ9.GlkbHfBEN7Tk_UPKPkFghSpw01yuH94nsDEGMPM4ZW1SE0xASIc8TAWUHPGtxj4WeHOlv91fp07guciZfQN_QRJTRTBoZYghYszHlV34GiWUpKZ4wFSUEUSVYudpL8mbLgVk_WLqGW3cL8LzGGo-D2EtqzNgFLHFjZn66shDnDu2UO0y_Y2A9mYvv-xbpzbYucyMJoyT25jUis5XIahk5zIO8cmxHuZ7mKBtx2UqUC_q9cL-KEFpdxXCqiOMuEbNigUPXIINYU6y0D6ogEa2f28HShIbQV2ogV_PPebgqtE._1i745_oUzAiln255V33wVLesameFAo1IFOJL4Unl-Y&dib_tag=se&keywords=sims+5+game&qid=1705772768&sr=8-27,https://m.media-amazon.com/images/I/61J-NmFkTkL._AC_UL320_.jpg,"11+ Verbal Reasoning Rapid Tests Book 1 for GL and CEM: Year 2, Ages 6-7","38,34","#<struct ProductDetails lang=""Angielski"", model_nr=nil, country_of_origin=nil, rating_avg=""4,8"", reviews_num=""110"">"
https://www.amazon.pl/Electronic-Arts-Need-Speed-Unbound/dp/B0BGM4BT44/ref=sr_1_28?dib=eyJ2IjoiMSJ9.GlkbHfBEN7Tk_UPKPkFghSpw01yuH94nsDEGMPM4ZW1SE0xASIc8TAWUHPGtxj4WeHOlv91fp07guciZfQN_QRJTRTBoZYghYszHlV34GiWUpKZ4wFSUEUSVYudpL8mbLgVk_WLqGW3cL8LzGGo-D2EtqzNgFLHFjZn66shDnDu2UO0y_Y2A9mYvv-xbpzbYucyMJoyT25jUis5XIahk5zIO8cmxHuZ7mKBtx2UqUC_q9cL-KEFpdxXCqiOMuEbNigUPXIINYU6y0D6ogEa2f28HShIbQV2ogV_PPebgqtE._1i745_oUzAiln255V33wVLesameFAo1IFOJL4Unl-Y&dib_tag=se&keywords=sims+5+game&qid=1705772768&sr=8-28,https://m.media-amazon.com/images/I/71NV8Fed31L._AC_UL320_.jpg,Electronic Arts Need for Speed Unbound,"148,84","#<struct ProductDetails lang=""Angielski, Francuski"", model_nr=""S7183831"", country_of_origin=nil, rating_avg=""4,3"", reviews_num=""212"">"
https://www.amazon.pl/Sztuka-elektroniczna-Martwy-Kosmiczny-Remake/dp/B0BGPM3549/ref=sr_1_29?dib=eyJ2IjoiMSJ9.GlkbHfBEN7Tk_UPKPkFghSpw01yuH94nsDEGMPM4ZW1SE0xASIc8TAWUHPGtxj4WeHOlv91fp07guciZfQN_QRJTRTBoZYghYszHlV34GiWUpKZ4wFSUEUSVYudpL8mbLgVk_WLqGW3cL8LzGGo-D2EtqzNgFLHFjZn66shDnDu2UO0y_Y2A9mYvv-xbpzbYucyMJoyT25jUis5XIahk5zIO8cmxHuZ7mKBtx2UqUC_q9cL-KEFpdxXCqiOMuEbNigUPXIINYU6y0D6ogEa2f28HShIbQV2ogV_PPebgqtE._1i745_oUzAiln255V33wVLesameFAo1IFOJL4Unl-Y&dib_tag=se&keywords=sims+5+game&qid=1705772768&sr=8-29,https://m.media-amazon.com/images/I/71DUgjxU+6L._AC_UL320_.jpg,Sztuka elektroniczna Martwy Kosmiczny Remake,"174,99","#<struct ProductDetails lang=nil, model_nr=nil, country_of_origin=nil, rating_avg="""", reviews_num="""">"
https://www.amazon.pl/KS2-SATs-Reasoning-10-Minute-Tests/dp/072171496X/ref=sr_1_30?dib=eyJ2IjoiMSJ9.GlkbHfBEN7Tk_UPKPkFghSpw01yuH94nsDEGMPM4ZW1SE0xASIc8TAWUHPGtxj4WeHOlv91fp07guciZfQN_QRJTRTBoZYghYszHlV34GiWUpKZ4wFSUEUSVYudpL8mbLgVk_WLqGW3cL8LzGGo-D2EtqzNgFLHFjZn66shDnDu2UO0y_Y2A9mYvv-xbpzbYucyMJoyT25jUis5XIahk5zIO8cmxHuZ7mKBtx2UqUC_q9cL-KEFpdxXCqiOMuEbNigUPXIINYU6y0D6ogEa2f28HShIbQV2ogV_PPebgqtE._1i745_oUzAiln255V33wVLesameFAo1IFOJL4Unl-Y&dib_tag=se&keywords=sims+5+game&qid=1705772768&sr=8-30,https://m.media-amazon.com/images/I/61osS4rlGfL._AC_UL320_.jpg,KS2 SATs Reasoning 10-Minute Tests,"32,22","#<struct ProductDetails lang=""Angielski"", model_nr=nil, country_of_origin=nil, rating_avg=""4,7"", reviews_num=""488"">"
https://www.amazon.pl/Activision-Crash-Bandicoot-N-Sane-Trilogy/dp/B07H4SG96N/ref=sr_1_31?dib=eyJ2IjoiMSJ9.GlkbHfBEN7Tk_UPKPkFghSpw01yuH94nsDEGMPM4ZW1SE0xASIc8TAWUHPGtxj4WeHOlv91fp07guciZfQN_QRJTRTBoZYghYszHlV34GiWUpKZ4wFSUEUSVYudpL8mbLgVk_WLqGW3cL8LzGGo-D2EtqzNgFLHFjZn66shDnDu2UO0y_Y2A9mYvv-xbpzbYucyMJoyT25jUis5XIahk5zIO8cmxHuZ7mKBtx2UqUC_q9cL-KEFpdxXCqiOMuEbNigUPXIINYU6y0D6ogEa2f28HShIbQV2ogV_PPebgqtE._1i745_oUzAiln255V33wVLesameFAo1IFOJL4Unl-Y&dib_tag=se&keywords=sims+5+game&qid=1705772768&sr=8-31,https://m.media-amazon.com/images/I/71UtDDAfxBL._AC_UL320_.jpg,Activision Crash Bandicoot N.Sane Trilogy (PS4),"116,06","#<struct ProductDetails lang=""Angielski"", model_nr=""88222EN"", country_of_origin=""Polska"", rating_avg=""4,7"", reviews_num=""4 913"">"
